item_id,texto_grupo,era,data_publicacao,veiculo,tipo_veiculo,titulo,lead,paragrafo_1,fonte_ref
syn06a,g06,boa,2007-11-19,Sintetico,imprensa,"Presidente do Banco Central defende decisão em audiência","Autoridade diz que juros refletem avaliação técnica do comitê","Em audiência no Congresso, a autoridade monetária afirmou que a decisão foi tomada com base em critérios técnicos e negou qualquer interferência externa.",syn
syn06b,g06,ruim,2015-11-19,Sintetico,imprensa,"Presidente do Banco Central defende decisão em audiência","Autoridade diz que juros refletem avaliação técnica do comitê","Em audiência no Congresso, a autoridade monetária afirmou que a decisão foi tomada com base em critérios técnicos e negou qualquer interferência externa.",syn
syn07a,g07,boa,2019-07-29,Sintetico,imprensa,"Governo critica nível dos juros e pede ritmo mais rápido de cortes","Declarações aumentam pressão sobre o comitê às vésperas da reunião","Integrantes do governo voltaram a criticar publicamente o patamar da taxa básica, defendendo cortes mais rápidos para estimular a atividade.",syn
syn07b,g07,ruim,2013-07-29,Sintetico,imprensa,"Governo critica nível dos juros e pede ritmo mais rápido de cortes","Declarações aumentam pressão sobre o comitê às vésperas da reunião","Integrantes do governo voltaram a criticar publicamente o patamar da taxa básica, defendendo cortes mais rápidos para estimular a atividade.",syn
syn08a,g08,boa,2006-04-10,Sintetico,research,"Expectativas seguem sensíveis a surpresas de curto prazo","Avaliação de estrategistas sobre a dinâmica recente do IPCA","Nossos modelos indicam que as expectativas de inflação continuam reagindo mais a surpresas correntes do que ao horizonte da meta, o que recomenda cautela.",syn
syn08b,g08,ruim,2021-04-10,Sintetico,research,"Expectativas seguem sensíveis a surpresas de curto prazo","Avaliação de estrategistas sobre a dinâmica recente do IPCA","Nossos modelos indicam que as expectativas de inflação continuam reagindo mais a surpresas correntes do que ao horizonte da meta, o que recomenda cautela.",syn
syn09a,g09,boa,2017-10-09,Sintetico,imprensa,"Economistas avaliam próximos passos da política de juros","Relatórios de bancos discutem ritmo adequado para a taxa básica","Casas de análise divergem sobre o espaço para ajustes adicionais, citando a evolução recente dos núcleos de inflação e do câmbio.",syn
syn09b,g09,ruim,2002-10-09,Sintetico,imprensa,"Economistas avaliam próximos passos da política de juros","Relatórios de bancos discutem ritmo adequado para a taxa básica","Casas de análise divergem sobre o espaço para ajustes adicionais, citando a evolução recente dos núcleos de inflação e do câmbio.",syn
syn10a,g10,boa,2019-06-17,Sintetico,research,"Cenário de inflação exige monitoramento, diz relatório","Análise aponta riscos equilibrados para o horizonte relevante","O documento lista fatores de pressão e de alívio sobre os preços e conclui que o balanço de riscos segue exigindo atenção da autoridade monetária.",syn
syn10b,g10,ruim,2015-06-17,Sintetico,research,"Cenário de inflação exige monitoramento, diz relatório","Análise aponta riscos equilibrados para o horizonte relevante","O documento lista fatores de pressão e de alívio sobre os preços e conclui que o balanço de riscos segue exigindo atenção da autoridade monetária.",syn
syn11a,g11,boa,2007-02-12,Sintetico,imprensa,"Presidente do BC comenta expectativas em evento","Dirigente afirma que decisões seguirão os dados","Em conferência, o presidente do Banco Central disse que o comitê avaliará o conjunto de informações disponível antes de qualquer definição sobre os juros.",syn
syn11b,g11,ruim,2021-02-12,Sintetico,imprensa,"Presidente do BC comenta expectativas em evento","Dirigente afirma que decisões seguirão os dados","Em conferência, o presidente do Banco Central disse que o comitê avaliará o conjunto de informações disponível antes de qualquer definição sobre os juros.",syn
syn12a,g12,boa,2006-04-03,Sintetico,research,"Nota técnica discute transmissão da política monetária","Estudo examina defasagens entre decisão de juros e preços","A nota revisita estimativas de defasagem da política monetária no Brasil e discute implicações para o calendário de decisões do comitê.",syn
syn12b,g12,ruim,2013-04-03,Sintetico,research,"Nota técnica discute transmissão da política monetária","Estudo examina defasagens entre decisão de juros e preços","A nota revisita estimativas de defasagem da política monetária no Brasil e discute implicações para o calendário de decisões do comitê.",syn
